渠道名称,新保,,,续保,,,转保,,
,当期保费,同期保费,同比增长,当期保费,同期保费,同比增长,当期保费,同期保费,同比增长
宁波易充新能源科技有限公司,5759.43,5418.82,6%,2735.76,3158.64,-13.39%,2378.56,806.6,194.89%
宁波骏泰汽车销售服务有限公司,5759.43,5418.82,6%,1797.31,2912.43,-38.29%,2092.95,1132.08,84.88%
宁波顺福汽车维修有限公司,4763.49,896.23,432%,2966.27,1830.79,62.02%,3676.92,896.23,310.27%
宁波玛探雅贸易有限公司,2754.46,896.23,207%,2468.19,1854.86,33.07%,3200.29,716.98,346.36%
宁波全心全易汽车服务有限公司,350.77,896.23,-61%,2978.01,1520.97,95.80%,3309.98,627.36,427.60%
宁波中联星辉汽车服务有限公司,6285.24,806.6,679%,4577.76,1669.86,174.14%,1765.03,896.23,96.94%
宁波丰硕汽车服务有限公司,5418.82,896.23,505%,1723.71,1775.7,-2.93%,1019.7,726.42,40.37%
宁波市镇海天易二手车经纪有限公司,5418.82,896.23,505%,2308.46,3875.84,-40.44%,2542.98,806.6,215.27%
宁波中鑫搏勒汽车销售服务有限公司,6285.24,896.23,601%,1974.76,2771.63,-28.75%,3474.71,896.23,287.70%
宁波市宝昌汽车销售服务有限公司,5418.82,1037.74,422%,1889.89,3737.92,-49.44%,806.6,830.19,-2.84%
宁波骏超汽车销售有限公司,5418.82,896.23,505%,5085.21,3237.71,57.06%,716.98,627.36,14.29%
宁波金昌宝湖汽车销售服务有限公司,642.26,896.23,-28%,6215.62,2528.11,145.86%,806.6,806.6,0.00%
宁波沃龙汽车销售服务有限公司,4981.35,896.23,456%,3627.61,2387.81,51.92%,806.6,716.98 ,12.50%
宁波帝豪汽车销售服务有限公司,5382.85,896.23,501%,1831,1701.34,7.62%,806.6,716.98 ,12.50%
宁波市景润汽车销售服务有限公司,5759.43,896.23,543%,3406.06,2370.57,43.68%,896.23,627.36 ,42.86%
宁波国奥达汽车销售有限公司,4828.10 ,896.23,439%,2880.8,3628.7,-20.61%,896.23,597.49 ,50.00%
宁波宝峰汽车销售服务有限公司,4844.96 ,896.23,441%,3018.82,4547.47,-33.62%,849.06,552.68 ,53.63%
浙江康桥澳美汽车销售服务有限公司,4861.81 ,896.23,442%,3722.59,2988.43,24.57%,716.98,507.87 ,41.17%
宁波市鄞州东辰汽车维修服务部,4878.66 ,896.23,444%,4426.36,2949.01,50.10%,627.36,463.06 ,35.48%
浙江甬睿汽车销售服务有限公司（续保）,4895.51 ,896.23,446%,5130.13,2848.21,80.12%,806.6,418.25 ,92.85%
浙江甬睿汽车销售服务有限公司,4912.37 ,896.23,448%,5833.9,1713.06,240.55%,627.36,373.44 ,68.00%
